Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
Jalen Duren,30:04,4,4,1.000,0,0,,5,6,.833,4,9,13,4,0,0,2,3,13,16.5,-16,.979,1.000,.000,1.500,14.5,43.5,27.0,20.2,0.0,0.0,23.1,12.1,163,116,6.7,DET,202410230DET
Malik Beasley,27:50,5,13,.385,2,6,.333,2,3,.667,0,3,3,1,0,0,1,2,14,6.3,-5,.489,.462,.462,.231,0.0,15.7,6.7,5.9,0.0,0.0,6.5,23.1,99,120,-6.2,DET,202410230DET
Marcus Sasser,3:07,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,+9,1.000,1.000,.000,.000,0.0,46.7,20.0,68.1,0.0,0.0,0.0,13.5,205,116,17.4,DET,202410230DET
Paul Reed,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,202410230DET
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,DET,202410230DET
Ron Holland,15:18,2,6,.333,0,3,.000,2,2,1.000,1,2,3,0,2,0,1,1,6,4.5,-2,.436,.333,.500,.333,7.1,19.0,12.2,0.0,6.4,0.0,12.7,21.6,89,106,-2.9,DET,202410230DET
Simone Fontecchio,14:51,0,4,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,3,0,-4.3,+3,.000,.000,.500,.000,7.3,0.0,4.2,0.0,0.0,0.0,20.0,14.1,16,123,-23.2,DET,202410230DET
Team Totals,240,38,88,.432,9,33,.273,24,28,.857,12,26,38,22,6,2,14,21,109,,,.543,.483,.375,.318,27.3,78.8,49.4,57.9,6.1,3.8,12.2,100.0,110.5,116.6,,DET,202410230DET
Tim Hardaway Jr.,28:56,4,9,.444,4,7,.571,2,2,1.000,0,1,1,1,1,0,0,2,14,10.5,-2,.709,.667,.778,.222,0.0,5.0,2.2,5.3,1.7,0.0,0.0,14.3,149,118,4.3,DET,202410230DET
Tobias Harris,35:47,6,13,.462,1,6,.167,0,0,,1,1,2,1,0,1,2,3,13,5.5,-11,.500,.500,.462,.000,3.0,4.1,3.5,4.5,0.0,2.6,13.3,17.6,93,120,-6.8,DET,202410230DET
Wendell Moore Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,202410230DET
Ben Simmons,24:12,3,4,.750,0,0,,0,0,,2,3,5,8,0,1,6,5,6,5.0,-8,.750,.750,.000,.000,8.8,13.8,11.3,46.6,0.0,3.8,60.0,16.4,95,118,-4.7,BRK,202410230ATL
Cam Thomas,33:43,14,27,.519,7,13,.538,1,1,1.000,2,3,5,3,3,0,2,4,36,26.5,-8,.656,.648,.481,.037,6.3,9.9,8.1,21.3,4.1,0.0,6.8,34.6,129,113,14.6,BRK,202410230ATL
Cameron Johnson,32:01,4,10,.400,1,6,.167,5,6,.833,0,4,4,0,1,1,0,3,14,9.9,-10,.554,.450,.600,.600,0.0,13.9,6.8,0.0,1.4,2.9,0.0,15.7,122,116,-2.6,BRK,202410230ATL
Cui Yongxi,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202410230ATL
Dariq Whitehead,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202410230ATL
Dennis Schröder,34:20,5,16,.313,2,6,.333,1,2,.500,0,3,3,7,1,0,5,4,13,3.6,-4,.385,.375,.375,.125,0.0,9.8,4.8,29.6,1.3,0.0,22.9,25.3,80,119,-11.3,BRK,202410230ATL
Dorian Finney-Smith,29:33,3,10,.300,2,7,.286,0,0,,3,5,8,1,1,2,1,5,8,5.9,-4,.400,.400,.700,.000,10.8,18.9,14.8,4.6,1.6,6.2,9.1,14.8,96,112,-3.5,BRK,202410230ATL
Jalen Wilson,33:58,3,7,.429,2,5,.400,8,8,1.000,1,3,4,1,0,0,1,5,16,11.6,+4,.760,.571,.714,1.143,3.1,9.9,6.4,4.0,0.0,0.0,8.7,13.5,154,121,-0.7,BRK,202410230ATL
Jaylen Martin,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202410230ATL
Keon Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202410230ATL
Nic Claxton,15:25,3,4,.750,0,0,,1,4,.250,0,5,5,0,1,1,0,3,7,6.2,+7,.608,.750,.000,1.000,0.0,36.2,17.7,0.0,3.0,6.0,0.0,14.8,118,105,1.2,BRK,202410230ATL
Noah Clowney,14:36,2,6,.333,1,3,.333,2,2,1.000,3,3,6,0,1,1,1,1,7,6.9,-10,.509,.417,.500,.333,21.9,22.9,22.4,0.0,3.2,6.3,12.7,21.4,111,108,1.9,BRK,202410230ATL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,BRK,202410230ATL
Shake Milton,6:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+8,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0,125,-14.6,BRK,202410230ATL
Team Totals,240,40,91,.440,17,43,.395,19,25,.760,12,31,43,21,8,6,19,32,116,,,.569,.533,.473,.275,26.7,72.1,48.9,52.5,7.7,11.5,15.7,100.0,111.8,115.6,,BRK,202410230ATL
Tyrese Martin,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202410230ATL
Ziaire Williams,15:51,3,6,.500,2,3,.667,1,2,.500,1,2,3,1,0,0,1,2,9,5.8,+5,.654,.667,.500,.333,6.7,14.1,10.3,9.8,0.0,0.0,12.7,19.7,123,120,0.7,BRK,202410230ATL
Bogdan Bogdanović,27:50,2,6,.333,2,6,.333,2,2,1.000,0,2,2,2,0,2,2,3,8,4.8,-3,.581,.500,1.000,.333,0.0,7.7,3.9,9.7,0.0,7.2,22.5,13.2,100,118,-4.4,ATL,202410230ATL
Clint Capela,19:31,3,5,.600,0,0,,0,0,,1,6,7,1,1,1,1,0,6,7.6,0,.600,.600,.000,.000,5.7,32.8,19.6,7.8,2.4,5.1,16.7,12.7,110,106,0.4,ATL,202410230ATL
David Roddy,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202410230ATL
De'Andre Hunter,25:47,3,10,.300,2,4,.500,4,5,.800,1,5,6,1,2,0,0,5,12,8.7,+10,.492,.400,.400,.500,4.3,20.7,12.7,5.6,3.6,0.0,0.0,19.5,117,109,-3.8,ATL,202410230ATL
Dyson Daniels,34:32,6,12,.500,2,4,.500,1,4,.250,3,2,5,2,5,1,1,4,15,15.0,+7,.545,.583,.333,.333,9.7,6.2,7.9,9.1,6.7,2.9,6.8,17.6,115,105,3.9,ATL,202410230ATL
Garrison Mathews,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202410230ATL
Jalen Johnson,36:51,4,9,.444,0,3,.000,3,8,.375,1,9,10,4,3,1,6,3,11,7.0,-3,.439,.444,.333,.889,3.0,26.1,14.8,15.4,3.8,2.7,32.4,20.8,71,105,-7.9,ATL,202410230ATL
Keaton Wallace,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202410230ATL
Larry Nance Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202410230ATL
Mouhamed Gueye,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202410230ATL
Onyeka Okongwu,28:29,11,12,.917,0,0,,6,6,1.000,4,4,8,1,0,3,2,1,28,28.4,+4,.956,.917,.000,.500,15.7,15.0,15.3,8.2,0.0,10.5,12.0,24.1,169,114,13.3,ATL,202410230ATL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,ATL,202410230ATL
Team Totals,240,39,80,.488,9,28,.321,33,46,.717,12,33,45,25,12,9,16,20,120,,,.599,.544,.350,.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,100.0,115.6,111.8,,ATL,202410230ATL
Trae Young,36:40,7,16,.438,2,6,.333,14,16,.875,1,4,5,12,1,1,3,1,30,29.4,+12,.651,.500,.375,1.000,3.0,11.6,7.4,52.7,1.3,2.7,11.5,29.3,138,116,8.5,ATL,202410230ATL
Vit Krejci,11:19,1,2,.500,0,1,.000,1,1,1.000,0,1,1,2,0,0,0,1,3,3.3,-8,.615,.500,.500,.500,0.0,9.4,4.8,24.4,0.0,0.0,0.0,8.9,154,121,-2.3,ATL,202410230ATL
Zaccharie Risacher,19:00,2,8,.250,1,4,.250,2,4,.500,1,0,1,0,0,0,1,2,7,0.3,+1,.359,.313,.500,.500,5.9,0.0,2.9,0.0,0.0,0.0,9.3,23.4,77,124,-17.2,ATL,202410230ATL
Anthony Black,27:54,4,9,.444,1,2,.500,1,3,.333,4,2,6,4,0,0,0,2,10,9.9,+13,.484,.500,.222,.333,13.8,7.2,10.5,20.2,0.0,0.0,0.0,14.8,135,110,-1.2,ORL,202410230MIA
Caleb Houstan,5:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-13,,,,,0.0,18.7,9.2,0.0,0.0,0.0,,0.0,0,106,-10.5,ORL,202410230MIA
Cole Anthony,17:30,0,7,.000,0,5,.000,0,0,,0,3,3,6,0,0,2,2,0,-2.6,+8,.000,.000,.714,.000,0.0,17.1,8.4,40.1,0.0,0.0,22.2,20.6,48,107,-19.8,ORL,202410230MIA
