Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
James Harden,25:28,5,11,.455,2,6,.333,5,6,.833,1,2,3,1,1,1,5,1,17,9.2,-27,.623,.545,.545,.545,3.6,8.2,5.7,9.2,1.9,3.2,26.8,32.3,91,126,-0.5,LAC,202412310SAS
Jordan Miller,14:09,0,1,.000,0,0,,2,2,1.000,2,4,6,3,2,0,1,0,2,7.0,-7,.532,.000,.000,2.000,12.8,29.5,20.6,33.9,7.0,0.0,34.7,9.0,121,109,9.1,LAC,202412310SAS
Kai Jones,17:20,2,6,.333,0,2,.000,0,0,,1,3,4,1,0,2,0,1,4,3.9,-9,.333,.333,.333,.000,5.2,18.1,11.2,11.3,0.0,9.5,0.0,15.3,83,123,-4.0,LAC,202412310SAS
Kevin Porter Jr.,13:24,1,6,.167,0,2,.000,0,0,,1,3,4,4,0,0,1,2,2,0.8,-12,.167,.167,.333,.000,6.8,23.4,14.5,54.2,0.0,0.0,14.3,23.0,62,126,-11.1,LAC,202412310SAS
Kobe Brown,12:00,2,6,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,1.2,-8,.417,.417,.167,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,83,134,-8.8,LAC,202412310SAS
Kris Dunn,22:36,3,6,.500,1,3,.333,0,0,,0,2,2,1,1,0,1,2,7,4.5,-16,.583,.583,.500,.000,0.0,9.2,4.3,9.0,2.2,0.0,14.3,13.6,99,126,-4.4,LAC,202412310SAS
Mo Bamba,7:10,1,4,.250,0,3,.000,0,0,,1,1,2,1,0,0,0,1,2,0.9,-11,.250,.250,.750,.000,12.6,14.6,13.5,28.7,0.0,0.0,0.0,24.6,75,129,-9.5,LAC,202412310SAS
Nicolas Batum,12:43,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,2,0,-1.2,-10,.000,.000,1.000,.000,7.1,16.4,11.4,0.0,0.0,0.0,50.0,6.9,27,129,-17.0,LAC,202412310SAS
Norman Powell,26:20,4,12,.333,3,10,.300,4,4,1.000,0,5,5,2,2,0,1,0,15,12.1,-19,.545,.458,.833,.333,0.0,19.8,9.2,16.1,3.8,0.0,6.8,24.7,108,119,5.8,LAC,202412310SAS
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,LAC,202412310SAS
Team Totals,240,30,87,.345,11,41,.268,15,18,.833,10,31,41,17,7,3,14,15,86,,,.453,.408,.471,.207,18.9,67.4,41.4,56.7,7.2,5.2,12.9,100.0,88.7,125.9,,LAC,202412310SAS
Blake Wesley,8:33,1,1,1.000,0,0,,0,0,,0,0,0,4,0,1,0,0,2,5.2,+4,1.000,1.000,.000,.000,0.0,0.0,0.0,53.0,0.0,12.2,0.0,4.9,211,95,16.1,SAS,202412310SAS
Charles Bassey,5:35,1,3,.333,0,0,,0,0,,1,2,3,2,0,0,1,1,2,1.6,0,.333,.333,.000,.000,18.7,32.4,26.1,43.6,0.0,0.0,25.0,29.8,87,89,-4.5,SAS,202412310SAS
Chris Paul,20:09,3,5,.600,1,2,.500,0,0,,2,7,9,4,3,0,0,1,7,13.6,+19,.700,.700,.400,.000,10.4,31.5,21.7,23.3,7.4,0.0,0.0,10.3,167,73,14.5,SAS,202412310SAS
Devin Vassell,26:24,4,14,.286,0,6,.000,0,0,,0,3,3,3,3,0,0,2,8,5.0,+20,.286,.286,.429,.000,0.0,10.3,5.5,13.4,5.6,0.0,0.0,22.1,78,85,-7.6,SAS,202412310SAS
Harrison Barnes,24:45,4,9,.444,3,4,.750,0,0,,2,2,4,1,0,0,0,1,11,8.6,+22,.611,.611,.444,.000,8.4,7.3,7.8,4.8,0.0,0.0,0.0,15.1,137,99,0.3,SAS,202412310SAS
Jeremy Sochan,15:13,2,5,.400,0,1,.000,0,0,,2,3,5,2,1,0,1,1,4,4.6,+14,.400,.400,.200,.000,13.7,17.9,15.9,15.1,3.3,0.0,16.7,16.4,99,88,-2.7,SAS,202412310SAS
Julian Champagnie,16:01,3,8,.375,2,6,.333,1,1,1.000,1,1,2,1,0,1,1,0,9,6.0,+16,.533,.500,.750,.125,6.5,5.7,6.1,7.7,0.0,6.5,10.6,24.5,107,96,-0.1,SAS,202412310SAS
Keldon Johnson,19:00,7,11,.636,1,4,.250,2,2,1.000,1,5,6,1,0,0,1,0,17,14.0,+15,.715,.682,.364,.182,5.5,23.8,15.3,8.3,0.0,0.0,7.8,28.2,134,93,7.1,SAS,202412310SAS
Malaki Branham,7:22,2,4,.500,1,3,.333,0,0,,0,1,1,0,0,0,0,1,5,2.9,0,.625,.625,.750,.000,0.0,12.3,6.6,0.0,0.0,0.0,0.0,22.6,123,97,-1.6,SAS,202412310SAS
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,SAS,202412310SAS
Sandro Mamukelashvili,7:52,2,3,.667,0,1,.000,0,0,,0,4,4,1,0,1,0,1,4,4.9,+2,.667,.667,.333,.000,0.0,46.1,24.7,17.0,0.0,13.3,0.0,15.9,143,76,9.8,SAS,202412310SAS
Sidy Cissoko,5:35,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7,0,.500,.500,.500,.000,0.0,0.0,0.0,21.8,0.0,0.0,0.0,14.9,124,102,-1.2,SAS,202412310SAS
Stephon Castle,23:10,5,8,.625,0,3,.000,5,6,.833,0,4,4,4,1,1,1,2,15,14.9,+18,.705,.625,.375,.750,0.0,15.6,8.4,22.0,2.1,4.5,8.6,20.9,142,88,7.9,SAS,202412310SAS
Team Totals,240,48,98,.490,9,40,.225,17,19,.895,15,43,58,37,10,7,9,15,122,,,.574,.536,.408,.194,32.6,81.1,58.6,77.1,10.3,15.2,7.8,100.0,125.9,88.7,,SAS,202412310SAS
Tre Jones,17:56,1,2,.500,0,1,.000,0,0,,2,2,4,4,0,0,2,1,2,3.4,+14,.500,.500,.500,.000,11.6,10.1,10.8,23.6,0.0,0.0,50.0,9.3,101,98,-6.1,SAS,202412310SAS
Victor Wembanyama,25:41,10,18,.556,1,6,.167,6,7,.857,1,8,9,5,1,3,2,3,27,24.5,+22,.640,.583,.333,.389,4.1,28.2,17.0,31.9,1.9,12.2,8.7,37.4,128,79,17.6,SAS,202412310SAS
Zach Collins,16:44,2,5,.400,0,2,.000,3,3,1.000,3,1,4,4,1,0,0,1,7,10.1,+14,.554,.400,.400,.600,18.7,5.4,11.6,27.1,3.0,0.0,0.0,15.7,155,93,9.3,SAS,202412310SAS
Anthony Edwards,38:49,6,12,.500,4,7,.571,4,4,1.000,0,7,7,2,0,1,3,3,20,14.0,-3,.727,.667,.583,.333,0.0,20.6,10.8,7.8,0.0,2.3,17.9,19.1,124,116,2.7,MIN,202412310OKC
Daishen Nix,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,202412310OKC
Donte DiVincenzo,29:50,3,10,.300,2,7,.286,2,2,1.000,1,3,4,5,0,0,2,2,10,6.5,-6,.460,.400,.700,.200,4.2,11.5,8.0,23.5,0.0,0.0,15.5,19.1,106,120,-2.5,MIN,202412310OKC
Jaden McDaniels,27:44,3,8,.375,1,5,.200,0,0,,0,6,6,0,0,0,3,2,7,0.6,0,.438,.438,.625,.000,0.0,24.7,13.0,0.0,0.0,0.0,27.3,17.6,63,117,-9.7,MIN,202412310OKC
Joe Ingles,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,202412310OKC
Josh Minott,9:44,3,4,.750,0,1,.000,0,0,,0,0,0,1,0,0,0,0,6,5.1,-5,.750,.750,.250,.000,0.0,0.0,0.0,20.4,0.0,0.0,0.0,18.2,158,122,8.2,MIN,202412310OKC
Julius Randle,27:11,5,12,.417,1,4,.250,0,0,,4,2,6,6,0,1,4,1,11,8.5,-7,.458,.458,.333,.000,18.6,8.4,13.2,35.1,0.0,3.3,25.0,26.1,100,118,0.4,MIN,202412310OKC
Leonard Miller,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,202412310OKC
Mike Conley,23:19,5,10,.500,4,7,.571,2,2,1.000,1,0,1,4,2,0,1,1,16,15.1,-2,.735,.700,.700,.200,5.4,0.0,2.6,28.7,4.2,0.0,8.4,22.6,151,113,16.0,MIN,202412310OKC
Naz Reid,32:55,8,14,.571,1,5,.200,2,2,1.000,2,6,8,1,1,3,4,4,19,13.8,-8,.638,.607,.357,.143,7.7,20.8,14.6,5.3,1.5,8.3,21.2,25.4,105,108,2.3,MIN,202412310OKC
Nickeil Alexander-Walker,19:23,3,3,1.000,2,2,1.000,0,0,,0,4,4,1,0,0,5,3,8,2.8,-12,1.333,1.333,.667,.000,0.0,23.6,12.4,7.8,0.0,0.0,62.5,18.3,74,117,-3.3,MIN,202412310OKC
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,MIN,202412310OKC
Rudy Gobert,31:05,3,6,.500,0,0,,2,2,1.000,2,5,7,1,0,2,1,2,8,8.2,+3,.581,.500,.000,.333,8.1,18.4,13.5,4.5,0.0,5.8,12.7,11.2,121,114,0.5,MIN,202412310OKC
Team Totals,240,39,79,.494,15,38,.395,12,12,1.000,10,33,43,21,3,7,24,18,105,,,.623,.589,.481,.152,26.3,78.6,53.8,53.8,3.1,13.2,22.2,100.0,107.2,115.3,,MIN,202412310OKC
Terrence Shannon Jr. ,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,202412310OKC
Aaron Wiggins,13:40,3,6,.500,1,2,.500,0,0,,0,3,3,1,1,0,1,0,7,5.6,-8,.583,.583,.333,.000,0.0,27.7,13.2,11.2,3.6,0.0,14.3,22.1,100,104,2.2,OKC,202412310OKC
Ajay Mitchell,17:58,1,4,.250,0,3,.000,1,1,1.000,1,2,3,0,0,0,0,2,3,1.1,+2,.338,.250,.750,.250,6.4,14.1,10.0,0.0,0.0,0.0,0.0,10.7,88,116,-11.7,OKC,202412310OKC
Branden Carlson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKC,202412310OKC
Cason Wallace,32:00,1,8,.125,0,4,.000,3,4,.750,1,1,2,7,4,0,0,2,5,8.5,+19,.256,.125,.500,.500,3.6,3.9,3.8,25.9,6.1,0.0,0.0,13.2,97,104,1.4,OKC,202412310OKC
Dillon Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKC,202412310OKC
Isaiah Hartenstein,32:00,5,10,.500,0,1,.000,5,5,1.000,3,7,10,4,1,2,0,1,15,19.0,+13,.615,.500,.100,.500,10.7,27.6,18.8,17.4,1.5,7.3,0.0,16.5,148,105,8.1,OKC,202412310OKC
Isaiah Joe,12:39,3,6,.500,1,4,.250,0,0,,0,0,0,1,1,0,0,0,7,5.7,+20,.583,.583,.667,.000,0.0,0.0,0.0,12.4,3.9,0.0,0.0,20.5,121,110,4.9,OKC,202412310OKC
Jalen Williams,37:44,6,12,.500,1,4,.250,1,4,.250,0,7,7,7,3,0,3,3,14,12.6,-10,.509,.542,.333,.333,0.0,23.4,11.1,25.9,3.9,0.0,17.9,19.2,99,104,0.0,OKC,202412310OKC
Jaylin Williams,10:26,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,0,0,0,3,2.6,-6,.375,.375,1.000,.000,0.0,12.1,5.8,12.3,4.7,0.0,0.0,16.6,91,105,0.4,OKC,202412310OKC
Kenrich Williams,14:37,2,4,.500,1,2,.500,0,0,,1,1,2,0,1,0,1,2,5,3.2,-4,.625,.625,.500,.000,7.8,8.6,8.2,0.0,3.4,0.0,20.0,14.8,102,109,-4.0,OKC,202412310OKC
Luguentz Dort,34:36,5,12,.417,4,7,.571,0,0,,2,4,6,2,0,0,1,2,14,9.8,+3,.583,.583,.583,.000,6.6,14.6,10.4,7.9,0.0,0.0,7.7,16.2,117,116,-1.0,OKC,202412310OKC
Ousmane Dieng,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKC,202412310OKC
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,OKC,202412310OKC
Shai Gilgeous-Alexander,34:20,15,23,.652,3,5,.600,7,9,.778,1,2,3,2,4,0,3,1,40,32.4,+11,.742,.717,.217,.391,3.3,7.4,5.2,13.3,5.7,0.0,10.0,37.7,132,104,18.1,OKC,202412310OKC
Team Totals,240,42,89,.472,12,36,.333,17,23,.739,9,28,37,25,16,2,12,13,113,,,.570,.539,.404,.258,21.4,73.7,46.3,59.5,16.3,4.9,10.8,100.0,115.3,107.2,,OKC,202412310OKC
Caris LeVert,22:37,1,4,.250,1,3,.333,0,0,,0,1,1,2,1,1,1,2,3,2.2,+4,.375,.375,.750,.000,0.0,4.6,2.3,9.9,2.1,3.5,20.0,9.5,81,109,-4.5,CLE,202412310LAL
Craig Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202412310LAL
Darius Garland,32:03,5,16,.313,2,8,.250,2,2,1.000,0,2,2,14,2,1,3,1,14,14.5,+10,.415,.375,.500,.125,0.0,6.5,3.3,55.9,3.0,2.5,15.1,26.7,107,108,2.9,CLE,202412310LAL
Dean Wade,24:03,1,4,.250,0,3,.000,1,1,1.000,2,7,9,2,0,0,0,2,3,4.7,+9,.338,.250,.750,.250,8.9,30.4,19.7,9.3,0.0,0.0,0.0,7.9,118,111,-3.4,CLE,202412310LAL
Donovan Mitchell,32:11,8,20,.400,6,13,.462,4,5,.800,1,3,4,4,0,0,3,0,26,16.2,+9,.586,.550,.650,.250,3.3,9.7,6.6,18.0,0.0,0.0,11.9,33.7,110,116,1.6,CLE,202412310LAL
Evan Mobley,31:40,8,14,.571,2,4,.500,2,2,1.000,1,5,6,1,1,1,2,1,20,15.6,+7,.672,.643,.286,.143,3.4,16.5,10.0,4.6,1.5,2.5,11.8,23.0,117,109,2.2,CLE,202412310LAL
Georges Niang,18:13,3,5,.600,2,3,.667,1,2,.500,1,2,3,1,0,0,0,1,9,7.9,-3,.765,.800,.600,.400,5.9,11.5,8.7,7.1,0.0,0.0,0.0,13.9,156,115,4.6,CLE,202412310LAL
JT Thor,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202412310LAL
Jarrett Allen,31:18,12,14,.857,0,0,,3,4,.750,3,11,14,1,1,3,1,0,27,29.8,+12,.857,.857,.000,.286,10.2,36.7,23.6,5.8,1.5,7.7,6.0,23.1,162,100,15.6,CLE,202412310LAL
Jaylon Tyson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202412310LAL
Max Strus,26:24,5,9,.556,4,8,.500,1,1,1.000,1,2,3,4,0,2,0,5,15,14.2,+5,.794,.778,.889,.111,4.0,7.9,6.0,20.3,0.0,6.1,0.0,15.4,167,111,11.3,CLE,202412310LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,CLE,202412310LAL
Sam Merrill,7:34,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0,-0.8,+1,.000,.000,1.000,.000,0.0,0.0,0.0,14.1,0.0,0.0,0.0,5.7,63,117,-12.4,CLE,202412310LAL
Team Totals,240,45,93,.484,18,46,.391,14,17,.824,10,38,48,32,5,8,11,15,122,,,.607,.581,.495,.183,22.2,82.6,52.7,71.1,5.0,13.3,9.9,100.0,121.3,109.4,,CLE,202412310LAL
Tristan Thompson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202412310LAL
Ty Jerome,13:57,2,6,.333,1,3,.333,0,0,,1,5,6,2,0,0,1,1,5,3.8,+6,.417,.417,.500,.000,7.6,37.4,22.7,18.1,0.0,0.0,14.3,21.6,94,110,-6.6,CLE,202412310LAL
Anthony Davis,37:04,12,23,.522,2,4,.500,2,2,1.000,1,12,13,4,3,2,1,2,28,26.4,-6,.586,.565,.174,.087,2.8,34.5,18.5,19.6,3.9,5.5,4.0,28.7,117,108,11.8,LAL,202412310LAL
Austin Reaves,37:57,11,20,.550,1,4,.250,12,13,.923,1,8,9,10,1,0,4,2,35,31.3,-3,.680,.575,.200,.650,2.7,22.5,12.5,45.0,1.3,0.0,13.5,33.5,129,121,11.0,LAL,202412310LAL
Bronny James,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAL,202412310LAL
Cam Reddish,19:23,0,3,.000,0,2,.000,0,0,,0,4,4,0,1,0,0,0,0,0.1,-1,.000,.000,.667,.000,0.0,22.0,10.9,0.0,2.5,0.0,0.0,6.6,0,119,-9.4,LAL,202412310LAL
Dalton Knecht,22:09,2,8,.250,0,5,.000,0,0,,1,2,3,1,0,0,0,0,4,1.2,-3,.250,.250,.625,.000,4.7,9.6,7.1,5.8,0.0,0.0,0.0,15.4,66,128,-11.7,LAL,202412310LAL
Dorian Finney-Smith,20:24,1,4,.250,0,2,.000,0,0,,2,0,2,2,0,0,0,2,2,1.6,+7,.250,.250,.500,.000,10.2,0.0,5.2,11.9,0.0,0.0,0.0,8.4,97,130,-8.0,LAL,202412310LAL
Gabe Vincent,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAL,202412310LAL
Jaxson Hayes,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAL,202412310LAL
LeBron James,34:12,9,17,.529,3,6,.500,2,2,1.000,0,4,4,7,0,1,2,1,23,19.1,-11,.643,.618,.353,.118,0.0,12.5,6.2,33.5,0.0,3.0,10.1,24.8,122,125,7.2,LAL,202412310LAL
Max Christie,28:23,2,6,.333,1,5,.200,0,0,,0,1,1,2,1,0,0,3,5,3.1,-17,.417,.417,.833,.000,0.0,3.8,1.9,8.8,1.7,0.0,0.0,9.0,96,125,-5.9,LAL,202412310LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,LAL,202412310LAL
Rui Hachimura,30:23,3,10,.300,0,3,.000,1,2,.500,3,2,5,0,1,0,1,1,7,3.1,-17,.322,.300,.300,.200,10.3,7.0,8.7,0.0,1.6,0.0,8.4,16.7,76,124,-10.8,LAL,202412310LAL
Shake Milton,10:05,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,1,6,4.2,-9,.750,.750,1.000,.000,0.0,21.2,10.5,0.0,0.0,0.0,0.0,16.9,135,124,3.8,LAL,202412310LAL
Team Totals,240,42,95,.442,9,35,.257,17,19,.895,8,35,43,26,7,3,9,12,110,,,.532,.489,.368,.200,17.4,77.8,47.3,61.9,7.0,6.4,8.0,100.0,109.4,121.3,,LAL,202412310LAL
Brandon Clarke,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,202412310PHO
Cam Spencer,16:14,1,4,.250,0,3,.000,0,0,,2,2,4,3,2,0,1,3,2,3.5,+9,.250,.250,.750,.000,12.1,13.1,12.6,23.9,5.6,0.0,20.0,11.8,91,99,-1.2,MEM,202412310PHO
Colin Castleton,12:49,0,2,.000,0,0,,1,2,.500,1,0,1,0,1,0,1,2,1,-0.9,-1,.174,.000,.000,1.000,7.6,0.0,4.0,0.0,3.5,0.0,25.8,11.6,45,107,-13.1,MEM,202412310PHO
Desmond Bane,36:53,13,25,.520,4,8,.500,1,3,.333,1,4,5,7,0,1,4,4,31,19.8,+2,.589,.600,.320,.120,2.7,11.6,6.9,39.5,0.0,2.1,13.2,31.4,113,110,4.7,MEM,202412310PHO
Jake LaRavia,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,202412310PHO
Jaren Jackson Jr.,37:54,12,24,.500,4,9,.444,10,17,.588,2,10,12,4,2,1,5,3,38,26.9,+8,.604,.583,.375,.708,5.2,28.1,16.2,20.4,2.4,2.0,13.7,36.8,112,102,8.4,MEM,202412310PHO
Jay Huff,18:37,3,7,.429,2,5,.400,0,0,,0,2,2,0,0,1,0,2,8,4.8,-4,.571,.571,.714,.000,0.0,11.5,5.5,0.0,0.0,4.2,0.0,14.4,120,109,-1.6,MEM,202412310PHO
Jaylen Wells,31:44,3,12,.250,2,8,.250,3,4,.750,3,3,6,2,1,0,3,4,11,4.2,+8,.400,.333,.667,.333,9.3,10.1,9.7,8.5,1.4,0.0,17.9,20.2,87,109,-8.2,MEM,202412310PHO
John Konchar,35:35,3,7,.429,0,2,.000,1,1,1.000,4,8,12,4,1,1,0,5,7,11.0,0,.470,.429,.286,.143,11.0,24.0,17.2,15.0,1.3,2.2,0.0,8.0,140,105,1.4,MEM,202412310PHO
Luke Kennard,28:42,5,8,.625,3,6,.500,4,4,1.000,2,5,7,4,2,0,0,2,17,20.3,+9,.871,.813,.750,.500,6.8,18.6,12.5,21.1,3.1,0.0,0.0,13.0,192,104,14.1,MEM,202412310PHO
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,MEM,202412310PHO
Santi Aldama,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,202412310PHO
Scotty Pippen Jr.,21:32,0,5,.000,0,3,.000,2,2,1.000,1,1,2,3,1,2,3,4,2,-0.6,-6,.170,.000,.600,.400,4.5,5.0,4.7,16.7,2.1,7.2,33.8,15.8,52,104,-10.8,MEM,202412310PHO
Team Totals,240,40,94,.426,15,44,.341,22,33,.667,16,35,51,27,10,6,17,29,117,,,.539,.505,.468,.351,32.7,77.8,54.3,67.5,9.4,9.7,13.5,100.0,110.1,105.4,,MEM,202412310PHO
Bol Bol,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO,202412310PHO
Bradley Beal,12:00,1,5,.200,0,1,.000,1,2,.500,0,1,1,2,1,0,1,1,3,0.8,-10,.255,.200,.200,.400,0.0,8.2,4.3,21.1,3.8,0.0,14.5,22.9,61,110,-10.8,PHO,202412310PHO
Damion Lee,1:40,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,122,-30.2,PHO,202412310PHO
Devin Booker,30:21,4,20,.200,2,8,.250,6,6,1.000,1,3,4,9,1,0,3,1,16,9.1,-1,.353,.250,.400,.300,3.5,9.7,6.7,39.9,1.5,0.0,11.7,33.8,86,115,-5.2,PHO,202412310PHO
Josh Okogie,27:37,4,7,.571,1,4,.250,0,1,.000,0,2,2,0,0,1,1,4,9,4.0,0,.605,.643,.571,.143,0.0,7.1,3.7,0.0,0.0,3.5,11.8,12.2,97,117,-6.4,PHO,202412310PHO
Jusuf Nurkić,Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO,202412310PHO
Kevin Durant,38:32,11,19,.579,2,5,.400,5,7,.714,1,9,10,6,1,2,3,2,29,25.5,-4,.657,.632,.263,.368,2.8,22.9,13.3,26.4,1.2,5.0,12.0,26.0,122,108,8.8,PHO,202412310PHO
Mason Plumlee,27:15,6,6,1.000,0,0,,0,0,,2,6,8,3,0,3,0,4,12,16.0,-7,1.000,1.000,.000,.000,7.8,21.6,15.0,16.8,0.0,10.6,0.0,8.8,206,108,9.5,PHO,202412310PHO
Monte Morris,19:59,5,8,.625,0,1,.000,2,3,.667,1,2,3,2,1,0,1,2,12,9.9,+5,.644,.625,.125,.375,5.3,9.8,7.7,16.0,2.3,0.0,9.7,20.7,123,113,1.8,PHO,202412310PHO
Oso Ighodaro,17:16,1,4,.250,0,0,,0,0,,1,1,2,1,0,2,3,5,2,-2.3,+2,.250,.250,.000,.000,6.2,5.7,5.9,7.1,0.0,11.1,42.9,16.2,44,114,-15.9,PHO,202412310PHO
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,PHO,202412310PHO
Ryan Dunn,34:57,3,7,.429,2,5,.400,0,0,,3,6,9,3,2,2,0,3,8,12.5,+4,.571,.571,.714,.000,9.2,16.8,13.1,10.9,2.6,5.5,0.0,8.0,139,107,4.7,PHO,202412310PHO
Team Totals,240,42,92,.457,9,30,.300,19,25,.760,10,33,43,28,9,10,17,25,112,,,.544,.505,.326,.272,22.2,67.3,45.7,66.7,8.5,20.0,14.2,100.0,105.4,110.1,,PHO,202412310PHO
Tyus Jones,30:23,7,15,.467,2,5,.400,5,6,.833,1,3,4,2,3,0,5,3,21,12.7,-10,.595,.533,.333,.400,3.5,9.7,6.7,10.2,4.5,0.0,22.1,29.8,95,108,-1.3,PHO,202412310PHO
Caleb Houstan,27:18,1,4,.250,1,4,.250,0,0,,1,1,2,1,2,0,0,3,3,3.1,+6,.375,.375,1.000,.000,3.6,5.3,4.3,5.0,3.5,0.0,0.0,6.2,97,109,-5.6,ORL,202501010DET
Cole Anthony,13:18,3,12,.250,0,3,.000,2,3,.667,1,1,2,1,2,0,1,2,8,2.3,+1,.300,.250,.250,.250,7.4,10.9,8.8,13.8,7.2,0.0,7.0,45.8,66,99,-9.6,ORL,202501010DET
Cory Joseph,6:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,-3,.000,.000,1.000,.000,0.0,23.3,9.4,0.0,7.7,0.0,0.0,6.8,0,96,-6.3,ORL,202501010DET
Gary Harris,15:19,2,5,.400,0,2,.000,0,0,,1,1,2,0,3,0,1,0,4,4.3,+6,.400,.400,.400,.000,6.4,9.5,7.6,0.0,9.4,0.0,16.7,16.7,74,95,-0.6,ORL,202501010DET
Goga Bitadze,22:39,3,8,.375,0,0,,2,4,.500,1,2,3,6,1,0,2,2,8,6.5,-6,.410,.375,.000,.500,4.3,12.8,7.8,41.5,2.1,0.0,17.0,22.1,91,110,-0.5,ORL,202501010DET
